seed,ga_best_fitness_train_acc,fs_seconds,n_features_selected,selected_features_1based,base_accuracy,base_sensitivity,base_specificity,fs_accuracy,fs_sensitivity,fs_specificity
191664963,0.9912087912087912,58.473641872406006,14,4 7 11 12 14 16 20 21 22 23 25 26 28 30,0.9649122807017544,0.9761904761904762,0.9583333333333334,0.9736842105263158,0.9761904761904762,0.9722222222222222
1662057957,0.9978021978021978,73.00373649597168,15,3 5 6 7 8 10 11 16 22 23 24 25 26 28 29,0.956140350877193,0.9047619047619048,0.9861111111111112,0.956140350877193,0.9285714285714286,0.9722222222222222
1405681631,0.9956043956043956,103.03831648826599,21,5 6 7 8 9 10 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29,0.9736842105263158,0.9285714285714286,1.0,0.956140350877193,0.8809523809523809,1.0
942484272,0.9978021978021978,80.7676088809967,19,3 4 5 6 7 8 11 12 14 15 16 17 18 19 20 22 24 27 29,0.956140350877193,0.9047619047619048,0.9861111111111112,0.9385964912280702,0.8809523809523809,0.9722222222222222
929893137,0.9912087912087912,95.59381079673767,14,2 6 10 12 14 15 16 18 20 21 24 27 29 30,0.9824561403508771,0.9523809523809523,1.0,0.956140350877193,0.9285714285714286,0.9722222222222222
1843824992,0.9956043956043956,82.65076971054077,19,2 3 5 7 10 11 14 15 16 17 19 20 21 22 23 25 26 27 30,0.9385964912280702,0.9047619047619048,0.9583333333333334,0.956140350877193,0.9285714285714286,0.9722222222222222
184566854,0.9978021978021978,89.61201095581055,14,6 7 9 11 12 14 15 19 20 21 22 24 28 29,0.9122807017543859,0.8809523809523809,0.9305555555555556,0.9298245614035088,0.8809523809523809,0.9583333333333334
1497586438,0.9956043956043956,112.48966455459595,15,5 8 9 11 12 16 17 21 22 23 25 26 28 29 30,0.9473684210526315,0.8809523809523809,0.9861111111111112,0.956140350877193,0.9047619047619048,0.9861111111111112
432652533,0.9912087912087912,98.72562885284424,18,1 2 5 8 9 11 13 14 15 20 22 23 24 25 26 27 28 30,0.9824561403508771,0.9523809523809523,1.0,0.956140350877193,0.9047619047619048,0.9861111111111112
202244314,0.9912087912087912,88.11275386810303,14,2 8 11 12 14 19 20 21 22 24 25 27 28 30,0.9824561403508771,0.9523809523809523,1.0,0.9912280701754386,0.9761904761904762,1.0
